# {"t_start": 1753442983.742477, "env_id": "PctDiscrete-v0"} 
r,l,t
3.678889,18,2.584342
3.593333,20,3.224964
4.534444,18,3.919135
3.764444,18,4.522829
4.705556,17,5.135631
3.507778,17,5.804701
3.764444,17,6.391116
3.935556,21,7.203816
3.507778,17,7.837012
2.395556,11,8.220224
4.021111,19,8.87237
4.62,20,9.652399
5.047778,24,10.530767
4.106667,19,11.317082
3.678889,14,11.749689
5.047778,28,12.693253
3.935556,22,13.513119
4.021111,19,14.22964
3.85,23,15.218026
4.791111,24,16.141606
3.764444,21,17.074299
4.021111,17,17.684188
3.593333,18,18.378034
4.448889,23,19.280272
2.481111,11,19.738878
3.165556,16,20.384091
3.165556,15,21.104356
2.395556,14,21.649208
4.62,19,22.323591
4.448889,19,23.117816
4.62,22,25.183572
3.165556,16,25.77386
4.021111,19,26.580819
3.165556,15,27.152227
3.593333,18,27.815511
3.935556,18,28.64628
4.448889,21,29.413394
1.882222,9,29.779598
4.448889,21,30.659837
4.192222,23,31.549911
2.395556,11,31.9237
4.448889,21,32.753757
3.422222,16,33.331242
4.106667,16,33.938043
4.277778,17,34.631522
4.363333,20,35.369478
4.962222,26,36.464704
3.251111,16,37.009395
4.192222,18,37.724183
4.791111,25,38.760988
4.192222,17,39.351985
3.336667,15,40.067047
2.652222,13,40.539158
3.507778,16,41.11689
3.935556,18,41.901925
4.448889,20,42.656296
4.705556,20,43.311291
4.791111,20,44.092528
2.994444,13,44.522559
2.994444,19,45.197796
3.08,15,45.834862
4.192222,21,46.671283
3.422222,17,47.399503
4.021111,17,48.110238
4.363333,18,48.879709
5.218889,25,49.910954
4.021111,16,50.491914
2.481111,11,50.952905
3.336667,16,51.595612
3.422222,15,52.283754
4.277778,20,53.149081
2.481111,14,53.745733
3.593333,15,54.424739
4.62,21,55.186787
2.566667,12,55.707047
3.764444,20,56.609544
3.165556,13,57.070249
4.106667,18,58.862182
2.566667,13,59.444831
2.053333,7,59.74862
3.764444,20,60.542147
4.277778,16,61.271066
4.021111,21,62.163261
1.882222,8,62.519357
5.304444,22,63.481434
3.336667,15,64.071174
3.85,17,64.799132
4.106667,20,65.652901
4.962222,24,66.533156
3.08,14,67.094139
2.224444,9,67.572693
5.133333,24,68.485808
4.962222,22,69.263026
5.133333,22,70.333941
4.277778,19,71.055647
3.165556,17,71.918267
5.561111,21,72.733061
4.448889,18,73.443624
3.507778,14,73.991618
4.962222,21,74.784229
5.646667,21,75.697892
3.507778,14,76.231981
3.251111,18,76.876265
4.277778,17,77.724399
5.475556,24,78.602394
4.192222,19,79.349465
4.363333,22,80.414517
3.507778,17,81.124551
4.277778,22,82.126362
5.304444,20,82.986218
2.481111,11,83.457805
2.652222,10,83.840924
4.534444,21,84.788589
2.652222,15,85.344805
2.994444,12,85.766348
3.165556,13,86.366698
4.277778,17,86.999241
4.705556,21,87.823091
3.165556,15,88.515167
3.678889,16,89.252799
4.021111,20,90.038721
3.678889,16,91.99402
4.192222,19,92.761148
6.074444,24,93.788864
5.133333,25,94.814574
2.994444,14,95.388903
4.106667,20,96.349617
3.85,16,97.043744
4.277778,19,97.847641
4.534444,19,98.68382
4.62,26,99.747542
4.62,22,100.718621
4.363333,20,101.511828
3.593333,19,102.30905
5.218889,24,103.291799
4.62,19,104.020805
2.053333,7,104.354263
4.277778,20,105.159233
4.705556,19,105.928948
4.876667,24,106.984527
3.85,16,107.588816
5.561111,25,108.640425
4.448889,22,109.559771
5.133333,21,110.543244
4.106667,20,111.386178
4.363333,18,112.07432
3.165556,17,112.869576
4.021111,19,113.614133
4.106667,18,114.263144
4.448889,24,115.248166
4.62,23,116.140886
3.764444,16,116.881938
4.277778,19,117.690772
5.304444,21,118.529347
5.475556,20,119.42571
3.251111,15,120.081098
4.791111,20,121.075862
2.737778,11,121.507215
4.192222,20,122.354925
2.994444,14,122.931838
3.593333,17,123.707453
5.561111,23,125.913202
3.85,17,126.683109
5.218889,23,127.636613
1.711111,7,127.882999
5.304444,25,129.022534
4.791111,19,129.799804
4.962222,21,130.603043
3.507778,19,131.465412
5.047778,22,132.379591
4.363333,18,133.229847
5.133333,24,134.23501
4.448889,19,135.178343
4.106667,18,135.933295
4.791111,22,136.810161
4.62,19,137.615642
5.646667,23,138.578505
4.534444,21,139.463995
2.31,12,139.959646
5.133333,25,140.90341
4.705556,20,141.779535
5.047778,23,142.684755
4.962222,20,143.589529
3.422222,17,144.31055
5.218889,24,145.203356
3.507778,14,145.848753
5.047778,21,146.648926
5.732222,24,147.687855
4.448889,24,148.704815
2.395556,11,149.164701
4.277778,21,150.148587
5.475556,23,151.140819
3.507778,18,151.919616
3.593333,16,152.505376
5.218889,25,153.504606
4.791111,22,154.438116
4.448889,22,155.365851
4.876667,22,156.311987
4.192222,24,157.274065
4.106667,21,159.255774
3.935556,16,159.910932
4.277778,22,160.833967
4.277778,19,161.664284
4.192222,19,162.416707
3.764444,17,163.0991
4.791111,18,163.878171
5.646667,23,164.83412
3.764444,20,165.701361
4.705556,20,166.49635
4.192222,20,167.303844
5.133333,19,168.191987
4.277778,19,168.906505
4.534444,20,169.837002
4.021111,20,170.640312
5.646667,27,171.969069
5.133333,23,172.814192
3.935556,20,173.597859
4.62,20,174.472451
2.566667,10,174.854344
4.534444,19,175.623048
3.935556,21,176.567032
4.791111,21,177.526116
5.304444,26,178.743094
4.62,22,179.59926
4.021111,21,180.536794
5.304444,24,181.550025
4.277778,21,182.384685
4.106667,22,183.360821
3.165556,15,183.891983
4.62,21,184.830071
5.561111,23,185.827988
6.331111,29,187.083427
4.962222,22,188.015002
4.705556,21,189.032916
4.705556,25,190.048127
4.962222,20,192.015648
3.85,19,193.025012
4.534444,20,193.877011
4.106667,18,194.677894
3.935556,22,195.675196
5.732222,23,196.62431
4.277778,19,197.509645
1.711111,9,197.921827
4.448889,22,198.818919
4.62,24,199.926476
4.62,20,200.794899
3.507778,19,201.852105
5.047778,19,202.82428
4.705556,21,203.78514
4.62,22,204.667773
4.791111,22,205.595177
4.448889,20,206.443471
5.133333,23,207.294029
5.39,22,208.306008
4.962222,20,209.161206
3.593333,14,209.778417
4.62,20,210.728146
2.481111,13,211.208233
4.192222,17,211.92585
6.245556,22,212.885441
5.304444,24,213.827307
4.448889,21,214.76465
3.935556,16,215.40341
4.791111,25,216.503097
4.277778,19,217.308089
5.218889,20,218.134858
5.39,26,219.373668
2.908889,12,219.899327
4.192222,17,220.553621
3.678889,16,221.25985
5.817778,23,222.223863
5.646667,25,223.345502
6.245556,31,225.706937
3.507778,16,226.445381
4.876667,23,227.367213
4.448889,24,228.400503
4.876667,22,229.294518
5.304444,28,230.585908
4.705556,19,231.31178
5.047778,21,232.249593
5.903333,29,233.471766
5.817778,29,234.765259
6.416667,29,236.021559
5.475556,26,237.164763
5.561111,23,238.171323
6.331111,31,239.530246
5.646667,25,240.602612
5.988889,21,241.633842
4.791111,20,242.527626
6.502222,29,243.934995
4.705556,24,245.042452
4.705556,21,246.031851
6.074444,29,247.263627
5.646667,25,248.365101
5.817778,26,249.445023
5.817778,26,250.736574
5.988889,28,251.980803
6.245556,27,253.242397
5.304444,23,254.272676
