# {"t_start": 1753519640.8861876, "env_id": "PctContinuous-v0"} 
r,l,t
4.876667,23,3.985596
3.764444,22,5.863191
4.192222,21,7.932666
2.823333,13,9.061447
3.935556,21,12.018548
3.678889,17,13.761761
7.186667,31,16.537766
3.251111,14,17.905756
5.646667,23,19.942647
4.962222,20,21.913011
5.988889,24,24.36271
3.593333,18,26.106456
5.133333,21,28.340496
5.047778,26,30.885836
5.475556,22,33.037756
4.021111,21,35.005263
4.448889,19,37.03392
3.764444,17,38.8076
5.047778,20,41.108682
4.192222,19,44.430495
4.192222,22,46.907594
4.448889,20,49.002281
4.106667,21,51.281184
3.251111,16,53.227645
3.165556,14,54.843927
3.935556,19,57.13852
2.737778,14,58.840686
4.277778,22,61.466857
4.534444,25,64.269969
5.133333,28,67.512576
4.277778,18,69.579696
3.764444,15,71.020261
1.796667,10,72.18106
3.507778,14,73.67584
4.876667,21,76.172935
3.422222,21,79.995473
4.962222,21,82.057344
3.422222,16,83.826875
2.652222,10,85.0228
2.823333,16,86.807235
5.047778,22,89.284354
4.534444,21,91.723906
4.791111,25,94.532715
2.823333,18,96.622639
2.138889,12,97.805192
3.422222,18,99.793108
3.251111,14,101.359781
2.652222,13,102.699011
3.336667,14,104.226395
4.448889,20,106.485251
3.507778,16,108.402063
4.791111,19,111.640833
4.534444,23,114.18804
3.935556,19,116.293982
2.737778,12,117.766476
4.192222,19,120.064703
3.764444,15,121.653696
3.422222,20,123.866851
4.106667,18,125.941922
2.31,11,127.035533
4.534444,21,129.195009
2.224444,9,130.171642
1.711111,10,131.349272
4.705556,20,133.55227
5.047778,19,135.720277
5.047778,23,138.417705
4.021111,20,140.638435
4.62,17,142.670317
2.053333,15,145.299165
2.737778,15,146.905968
4.021111,22,149.563183
2.823333,16,151.323561
2.823333,16,153.088537
3.764444,18,155.211327
4.192222,20,157.407579
4.534444,21,159.873961
3.507778,16,161.504514
5.047778,20,163.720071
4.62,17,165.748768
4.021111,17,167.624516
2.395556,12,168.968626
5.39,25,171.858553
3.507778,16,173.654767
3.08,16,175.409102
3.422222,14,178.238361
4.192222,21,180.462302
4.277778,20,182.699847
5.218889,22,185.338597
3.08,15,187.022195
4.021111,17,188.864406
4.363333,23,191.590442
4.192222,23,193.925091
3.935556,16,195.907958
3.251111,17,197.783448
3.678889,19,199.853166
4.277778,22,202.40753
3.507778,16,204.228895
4.62,23,207.018167
6.245556,27,209.762571
5.218889,20,213.239454
4.62,22,215.77058
2.823333,15,217.456903
4.791111,25,220.487738
2.908889,14,222.016547
3.85,16,223.781079
4.021111,17,225.629421
3.935556,24,228.295819
3.08,14,229.996459
3.935556,20,232.146535
5.047778,23,234.648369
4.705556,20,236.931001
3.593333,14,238.493994
3.422222,13,239.873212
